"","accessionid","T_repro","RGRinf","rel.RGR","rel.T_Repro","Ranking"
"35",8354,47.5,140.4035393,0.323163129367608,0.310457516339869,0.633620645707477
"48",6929,50.5,130.7899718,0.301035834192744,0.330065359477124,0.631101193669868
"51",9939,51,129.1217197,0.297196062261795,0.333333333333333,0.630529395595128
"37",8424,47.5,138.0381618,0.317718802259853,0.310457516339869,0.628176318599722
"54",9637,52.5,123.738852,0.284806457415816,0.343137254901961,0.627943712317777
"31",9600,46,141.3407107,0.325320192101837,0.300653594771242,0.625973786873078
"87",7213,61.5,97.18764884,0.223694252236094,0.401960784313726,0.62565503654982
"8",8311,39,160.330043,0.369027438238682,0.254901960784314,0.623929399022996
"57",9737,53,119.4528242,0.274941420086201,0.34640522875817,0.621346648844371
"29",9669,45,141.917183,0.326647043215352,0.294117647058824,0.620764690274176
"72",6195,59,99.98816239,0.230140120532339,0.38562091503268,0.615761035565019
"40",6940,48.5,128.8302284,0.296525144411995,0.316993464052288,0.613518608464282
"46",7424,50,123.838517,0.285035853721985,0.326797385620915,0.6118332393429
"49",765,51,120.7149011,0.277846309254523,0.333333333333333,0.611179642587856
"77",9997,59,97.18363965,0.223685024389039,0.38562091503268,0.609305939421719
"33",7028,46.5,131.9637557,0.303737501687855,0.303921568627451,0.607659070315306
"52",8312,52,116.037285,0.267079963445914,0.339869281045752,0.606949244491666
"63",9749,55,107.2013552,0.246742536488754,0.359477124183007,0.606219660671761
"62",7209,55,106.1258172,0.244266998994709,0.359477124183007,0.603744123177716
"5",6970,37,157.0026915,0.361368960905369,0.241830065359477,0.603199026264846
"69",9562,57,98.88721714,0.22760610383998,0.372549019607843,0.600155123447824
"42",6959,49,121.1592415,0.278869035853043,0.320261437908497,0.599130473761539
"1",6961,34.5,161.6123292,0.371978842620672,0.225490196078431,0.597469038699104
"41",6958,48.5,121.4635629,0.279569484406176,0.316993464052288,0.596562948458464
"10",7394,40,144.5777317,0.33277075810184,0.261437908496732,0.594208666598572
"43",7092,49,118.7977797,0.273433721408871,0.320261437908497,0.593695159317368
"39",6243,48.5,119.9915716,0.276181440790741,0.316993464052288,0.593174904843028
"19",7382,42.5,136.796708,0.314861380737764,0.277777777777778,0.592639158515542
"45",7186,50,115.3945346,0.265600561774832,0.326797385620915,0.592397947395747
"23",7347,43,133.67548,0.307677332436855,0.281045751633987,0.588723084070842
"32",6180,46.5,123.5330511,0.284332770903337,0.303921568627451,0.588254339530788
"22",7063,43,131.3887796,0.302414094338482,0.281045751633987,0.583459845972469
"21",6938,43,130.672131,0.300764603126312,0.281045751633987,0.581810354760299
"20",9941,42.5,131.2694881,0.302139524234059,0.277777777777778,0.579917302011837
"28",9958,44.5,124.0601872,0.28554606618441,0.290849673202614,0.576395739387025
"13",10015,40,136.197343,0.313481838099458,0.261437908496732,0.57491974659619
"16",6979,42,130.1685481,0.299605519625487,0.274509803921569,0.574115323547056
"30",6898,45.5,116.9720232,0.269231425747773,0.297385620915033,0.566617046662805
"44",88,50,100.4288787,0.231154505658334,0.326797385620915,0.557951891279249
"27",9944,44,117.1588843,0.269661519021305,0.287581699346405,0.55724321836771
"26",8214,44,110.7427139,0.254893588559172,0.287581699346405,0.542475287905577
"6",763,38,127.5800078,0.293647544577189,0.248366013071895,0.542013557649084
"17",9657,42,115.0545893,0.2648181186291,0.274509803921569,0.539327922550669
"18",6987,42.5,108.8502995,0.250537868164847,0.277777777777778,0.528315645942625
"7",9653,38,121.4949071,0.279641628525976,0.248366013071895,0.528007641597871
"24",9933,43.5,103.7340007,0.238761817936833,0.284313725490196,0.52307554342703
"3",7127,36,121.8870933,0.280544313175655,0.235294117647059,0.515838430822714
"14",7077,40.5,100.057038,0.230298649710276,0.264705882352941,0.495004532063217
"2",6911,35,104.5193615,0.240569462210447,0.228758169934641,0.469327632145087
